SAEMP25N Total full-time and part-time employment by NAICS industry 1/
SAEMP25N Total full-time and part-time employment by NAICS industry 1/
State or DC
GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91000,New England,810481,829746,848697,872068,879343,870440,864358,872250,880443,890363,899518,892515,887957,880976,884528,887949,895986,892473,893489,888770,890783,893125,852300,854973
92000,Mideast,2735786,2768466,2817200,2864809,2922205,2939576,2949482,2975144,2984819,3006993,3040914,3048247,3018667,2955264,2921653,2923287,2918862,2906364,2907381,2911324,2959904,2972638,2859491,2837905
93000,Great Lakes,2700984,2736133,2786360,2835735,2867307,2866883,2861955,2854356,2850304,2859821,2868279,2865013,2828264,2786898,2762202,2748791,2750305,2747973,2761929,2761870,2767428,2777054,2641536,2638022
94000,Plains,1363285,1385369,1408546,1430291,1436112,1439563,1447253,1457243,1472497,1482111,1498732,1510059,1504168,1489040,1488536,1493302,1498017,1499049,1500737,1512027,1516178,1526891,1463042,1470223
95000,Southeast,4261180,4339107,4420363,4495556,4560809,4614287,4679707,4733140,4781201,4867315,4953399,4936053,4904401,4865296,4842279,4821945,4811287,4814043,4838870,4863478,4887423,4921806,4781620,4739603
96000,Southwest,1981087,2022027,2072233,2118752,2174119,2200725,2222796,2268656,2297120,2326362,2383488,2427410,2436683,2403749,2384676,2404902,2428774,2455206,2485159,2497096,2502332,2534230,2488161,2483283
97000,Rocky Mountain,624907,640654,656634,671518,686339,693540,701575,711642,720329,733686,751192,761245,763568,770387,776980,788273,798182,809033,825473,839828,850931,868629,851004,859156
98000,Far West,2768290,2869498,2966967,3062271,3135766,3118986,3112874,3135569,3177287,3240349,3297478,3265458,3193292,3140390,3112146,3128551,3186587,3257859,3324962,3376607,3417021,3453627,3299846,3298835

Legend/Footnotes
1/ The estimates of employment for 1998-2006 are based on the 2002 North American Industry Classification System (NAICS). The estimates for 2007-2010 are based on the 2007 NAICS. The estimates for 2011-2016 are based on the 2012 NAICS. The estimates for 2017 forward are based on the 2017 NAICS.
"  Last updated: September 30, 2022-- new statistics for 2021; revised statistics for 2017-2020."
